iter	RMSE
273	1038.3342
274	1038.216305
275	1038.075198
276	1037.836341
277	1037.650126
278	1037.537923
279	1037.31345
280	1037.235731
281	1037.077639
282	1037.011269
283	1036.942719
284	1036.882364
285	1036.683458
286	1036.486662
287	1036.246888
288	1036.140899
289	1035.904436
290	1035.78663
291	1035.663928
292	1035.420529
293	1035.158772
294	1034.950563
295	1034.839956
296	1034.619728
297	1034.52076
298	1034.468936
299	1034.306619
300	1034.170211
301	1033.956735
302	1033.779058
303	1033.548489
304	1033.37195
305	1033.18589
306	1032.975385
307	1032.772229
308	1032.549111
309	1032.363078
310	1032.178337
311	1032.037836
312	1031.892013
313	1031.788682
314	1031.685877
315	1031.49914
316	1031.400956
317	1031.281777
318	1031.151074
319	1031.038082
320	1030.889646
321	1030.7334
322	1030.600929
323	1030.417481
324	1030.279793
325	1030.117979
326	1029.907079
327	1029.711671
328	1029.501285
329	1029.33713
330	1029.119454
331	1028.989894
332	1028.827765
333	1028.627272
334	1028.498555
335	1028.364068
336	1028.153144
337	1027.993422
338	1027.812745
339	1027.759393
340	1027.60676
341	1027.472266
342	1027.26992
343	1027.108869
344	1026.900743
345	1026.728434
346	1026.63135
347	1026.539123
348	1026.368219
349	1026.206013
350	1026.063533
351	1026.002952
352	1025.906253
353	1025.831997
354	1025.715417
355	1025.491205
356	1025.350836
357	1025.207426
358	1025.052111
359	1024.99541
360	1024.88115
361	1024.679522
362	1024.584059
363	1024.527635
364	1024.343822
365	1024.168543
366	1023.981083
367	1023.898837
368	1023.815918
369	1023.695172
370	1023.519296
371	1023.357615
372	1023.27561
373	1023.123297
374	1023.043146
375	1022.846829
376	1022.767748
377	1022.622661
378	1022.554559
379	1022.45239
380	1022.391261
381	1022.309336
382	1022.261047
383	1022.112318
384	1022.064352
385	1021.862821
386	1021.717854
387	1021.628965
388	1021.403578
389	1021.235363
390	1021.063091
391	1020.894605
392	1020.779037
393	1020.588619
394	1020.423481
395	1020.308042
396	1020.170674
397	1020.052872
398	1020.005869
399	1019.851245
400	1019.701284
401	1019.567506
402	1019.445464
403	1019.364375
404	1019.170853
405	1019.039952
406	1018.92471
407	1018.815673
408	1018.663603
409	1018.447402
410	1018.306263
411	1018.147866
412	1018.011987
413	1017.873556
414	1017.690933
415	1017.566728
416	1017.480804
417	1017.269624
418	1017.087177
419	1017.040731
420	1016.894083
421	1016.774714
422	1016.651474
423	1016.424315
424	1016.238024
425	1016.117882
426	1015.913374
427	1015.787274
428	1015.676338
429	1015.519531
430	1015.402516
431	1015.309251
432	1015.104216
433	1014.933828
434	1014.771472
435	1014.655217
436	1014.546024
437	1014.328034
438	1014.1908
439	1013.987011
440	1013.893786
441	1013.754876
442	1013.672692
443	1013.562546
444	1013.404064
445	1013.269512
446	1013.143897
447	1012.98397
448	1012.90714
449	1012.74139
450	1012.613896
451	1012.438118
452	1012.361136
453	1012.237567
454	1012.076582
455	1011.907008
456	1011.70041
457	1011.579684
458	1011.507318
459	1011.371005
460	1011.222662
461	1011.099611
462	1010.992899
463	1010.850509
464	1010.737671
465	1010.597268
466	1010.435281
467	1010.300422
468	1010.176778
469	1010.098533
470	1009.914592
471	1009.79406
472	1009.62035
473	1009.428711
474	1009.304278
475	1009.171096
476	1009.055395
477	1008.952596
478	1008.824734
479	1008.72542
480	1008.58395
481	1008.430527
482	1008.311674
483	1008.20375
484	1008.000677
485	1007.918284
486	1007.841544
487	1007.749747
488	1007.612068
489	1007.438119
490	1007.274435
491	1007.144084
492	1006.960888
493	1006.678315
494	1006.532791
495	1006.457355
496	1006.301581
497	1006.125682
498	1006.050588
499	1005.930931
500	1005.814153
501	1005.630721
502	1005.514712
503	1005.405369
504	1005.272589
505	1005.158833
506	1005.089675
507	1004.92276
508	1004.705166
509	1004.532249
510	1004.411579
511	1004.241312
512	1004.135401
513	1004.088656
514	1004.00705
515	1003.864095
516	1003.686642
517	1003.577653
518	1003.424198
519	1003.288123
520	1003.200408
521	1003.078602
522	1002.931013
523	1002.813435
524	1002.646757
525	1002.59506
526	1002.412466
527	1002.235167
528	1002.110816
529	1002.036187
530	1001.950115
531	1001.766254
532	1001.598364
533	1001.444059
534	1001.271805
535	1001.141542
536	1000.965768
537	1000.889688
538	1000.721398
539	1000.596232
540	1000.548871
541	1000.465796
542	1000.393279
543	1000.278628
544	1000.147511
545	999.9888926
546	999.9400788
547	999.8624862
548	999.8041274
549	999.6451494
550	999.5233935
551	999.4515338
552	999.4045165
553	999.3309947
554	999.2658445
555	999.196443
556	999.0303417
557	998.9595838
558	998.8700795
559	998.754791
560	998.6701262
561	998.5954545
562	998.5298839
563	998.3130814
564	998.2251363
565	998.1449295
566	998.0095247
567	997.8579172
568	997.773938
569	997.5655673
570	997.4510029
571	997.3483536
572	997.2381432
573	997.040666
574	996.8693221
575	996.7589716
576	996.6938133
577	996.6254017
578	996.4637853
579	996.2358088
580	996.069637
581	995.9356096
582	995.8022215
583	995.6551627
584	995.5646891
585	995.414658
586	995.2778942
587	995.1890242
588	995.0051466
589	994.8287313
590	994.7058326
591	994.5679197
592	994.3988677
593	994.2244202
594	994.0742071
595	993.9471655
596	993.7024377
597	993.5998926
598	993.4226583
599	993.2468146
600	993.0826019
601	993.0155902
602	992.8926683
603	992.7631741
604	992.6555706
605	992.5236303
606	992.4028821
607	992.2582844
608	992.1524532
609	992.0499561
610	991.8727071
611	991.7410003
612	991.6089108
613	991.4611661
614	991.3550325
615	991.2401193
616	991.0973518
617	990.99684
618	990.9067503
619	990.787152
620	990.7217839
621	990.459645
622	990.2696306
623	990.2003813
624	990.0963919
625	989.9797371
626	989.8488002
627	989.7458176
628	989.6002384
629	989.4327558
630	989.214714
631	989.132074
632	989.0122933
633	988.9038219
634	988.8626027
635	988.7586538
636	988.5584007
637	988.4077897
638	988.3612994
639	988.1924836
640	988.097286
641	988.0078616
642	987.8967013
643	987.819223
644	987.7220834
645	987.6768652
646	987.5454477
647	987.3705812
648	987.3089113
649	987.2061592
650	987.0331973
651	986.872494
652	986.7461786
653	986.680716
654	986.5850639
655	986.5423128
656	986.3992445
657	986.3003198
658	986.2174738
659	986.1693769
660	986.0254965
661	985.8678903
662	985.8235787
663	985.6969263
664	985.6309899
665	985.5254794
666	985.4864539
667	985.3752309
668	985.3101955
669	985.2456261
670	985.1845939
671	985.1477258
672	984.9925518
673	984.9289395
674	984.8670916
675	984.7954748
676	984.752976
677	984.6881513
678	984.5652556
679	984.5225542
680	984.4630515
681	984.3912545
682	984.3509147
683	984.1768283
684	984.1377832
685	984.0835154
686	983.9557709
687	983.897477
688	983.8483687
689	983.8034087
690	983.7267757
691	983.6941914
692	983.6285553
693	983.4761846
694	983.3660322
695	983.2166727
696	983.0087624
697	982.9164878
698	982.7421542
699	982.6764686
700	982.5547994
701	982.4321391
702	982.3280967
703	982.2937038
704	982.2464985
705	981.965863
706	981.8156764
707	981.7111247
708	981.619185
709	981.2659329
710	981.1816228
711	981.116685
712	980.9430852
713	980.7663341
714	980.6140383
715	980.4894957
716	980.449381
717	980.3015832
718	980.0482559
719	979.887525
720	979.7997876
721	979.6571607
722	979.5694897
723	979.4569316
724	979.3976201
725	979.3451632
726	979.2041535
727	979.1195717
728	979.0215329
729	978.8976869
730	978.7503303
731	978.6148707
732	978.4612323
733	978.3865635
734	978.2111799
735	978.0668774
736	977.9256209
737	977.8334797
738	977.7736965
739	977.6643254
740	977.5692377
741	977.4393749
742	977.3119103
743	977.2112388
744	977.1560249
745	977.0434731
746	976.9299319
747	976.8243173
748	976.7669319
749	976.6563634
750	976.4898717
751	976.4380448
752	976.3584411
753	976.1972767
754	976.0243371
755	975.8803362
756	975.8126871
757	975.7052203
758	975.6062224
759	975.4075729
760	975.2706055
761	975.0766622
762	974.9148832
763	974.8477641
764	974.7698892
765	974.6541241
766	974.2812186
767	974.1714503
768	974.0646958
769	973.920085
770	973.8359455
771	973.784731
772	973.6889541
773	973.5996431
774	973.234869
775	973.1941668
776	973.0840806
777	972.9960787
778	972.921876
779	972.8826645
780	972.8110549
781	972.7275736
782	972.6120872
783	972.4930654
784	972.3693782
785	972.2406215
786	972.1457988
787	972.0217696
788	971.8912951
789	971.7645911
790	971.6954146
791	971.6037593
792	971.5035641
793	971.3424753
794	971.2419472
795	971.1642653
796	971.0505322
797	970.959648
798	970.7530728
799	970.6386069
800	970.4598184
801	970.3317126
802	970.283163
803	969.9407604
804	969.8693421
805	969.7700131
806	969.6926761
807	969.5277972
808	969.4464705
809	969.3067223
810	969.1864632
811	969.0874873
812	969.0001486
813	968.9434295
814	968.7523267
815	968.6063424
816	968.5414326
817	968.426467
818	968.3473023
819	968.280731
820	968.2041203
821	967.9806718
822	967.8084007
823	967.4882915
824	967.4232897
825	967.3264414
826	967.2862325
827	967.1641346
828	967.0772797
829	967.0388384
830	966.9696179
831	966.8981026
832	966.8009367
833	966.6729073
834	966.5500919
835	966.4236631
836	966.3360664
837	966.2978452
838	966.2475882
839	966.1331202
840	966.0058704
841	965.9440979
842	965.899182
843	965.8632254
844	965.8076596
845	965.6817948
846	965.5468584
847	965.4356046
848	965.3766525
849	965.337676
850	965.2664905
851	965.1704072
852	965.1193864
853	965.0834819
854	965.0540223
855	964.9739187
856	964.8685935
857	964.7342106
858	964.682912
859	964.6405127
860	964.5906187
861	964.4252314
862	964.3385019
863	964.2950526
864	964.2180113
865	964.0827785
866	964.0300215
867	963.8898224
868	963.8053577
869	963.7133155
870	963.5802836
871	963.4327871
872	963.2915556
873	963.1321693
874	963.0285751
875	962.8912851
876	962.8327819
877	962.677261
878	962.5908068
879	962.5288374
880	962.4383599
881	962.2519857
882	961.8696883
883	961.7571014
884	961.6482399
885	961.5852291
886	961.4801836
887	961.3274429
888	961.2929065
889	961.1594725
890	961.0582775
891	960.927792
892	960.794684
893	960.6843305
894	960.6305738
895	960.4946602
896	960.4454114
897	960.3843997
898	960.3026591
899	960.24677
900	960.1598322
901	960.0631287
902	959.9803548
903	959.7918836
904	959.6651218
905	959.5607865
906	959.4508959
907	959.3835812
908	959.2494149
909	959.0983618
910	959.0348985
911	958.801991
912	958.6427574
913	958.5426987
914	958.507042
915	958.4040879
916	958.2692741
917	958.1821227
918	958.1014602
919	958.0068348
920	957.8372535
921	957.7670005
922	957.7183958
923	957.6388246
924	957.5833028
925	957.5273317
926	957.4731459
927	957.3081762
928	957.1848999
929	957.0286627
930	956.9253073
931	956.7939025
932	956.7097542
933	956.6287317
934	956.5190357
935	956.4169978
936	956.2215259
937	956.1177714
938	956.0272932
939	955.884109
940	955.7612612
941	955.6301699
942	955.5765388
943	955.4443692
944	955.3819155
945	955.2913736
946	955.224781
947	955.1823742
948	955.1090982
949	955.0516262
950	954.9030593
951	954.8529976
952	954.7662438
953	954.6420242
954	954.5150904
955	954.466765
956	954.3071283
957	954.1698239
958	954.1180983
959	954.0076381
960	953.9665183
961	953.8224156
962	953.7120423
963	953.5477926
964	953.4752088
965	953.3566295
966	953.2570562
967	953.1465248
968	952.96575
969	952.8630941
970	952.8042788
971	952.636162
972	952.5887701
973	952.479523
974	952.3913349
975	952.2280187
976	951.9168118
977	951.7638219
978	951.6451582
979	951.4692889
980	951.3989721
981	951.3255449
982	951.2562384
983	951.1702988
984	950.8666729
985	950.8347665
986	950.7457634
987	950.7146815
988	950.6463646
989	950.5531456
990	950.4853579
991	950.4495138
992	950.4180795
993	950.3060829
994	950.2619938
995	950.2096832
996	950.1573198
997	950.0603686
998	949.9618487
999	949.8684389
